"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000129675",-2.49332480078161,1.03212175669953,-5.35940514229227,1.20641537447437e-05,0.00175441181692679
"ENSG00000165434",1.68052320582646,3.9142140826515,5.34206382253199,1.25681572699555e-05,0.00180645339551069
"ENSG00000141469",-2.76780096374091,1.05154908316067,-5.25440055008257,1.54633574333185e-05,0.00219403744110758
"ENSG00000188064",1.54949476034554,2.90715059404914,5.25015028513055,1.56197148141305e-05,0.00219403744110758
"ENSG00000143127",-1.7975101760203,2.21749036664937,-5.22731342069123,1.64883005260168e-05,0.0022900211550797
"ENSG00000159403",-2.02574159142298,3.35296877802741,-5.10978662731132,2.17978895048201e-05,0.00299381902410091
"ENSG00000109107",-1.75077515757962,2.49698040945345,-5.08631156716304,2.30507793399307e-05,0.00313110641121849
"ENSG00000164220",-2.10489336956756,1.10683179220883,-5.03939244815091,2.57779084638159e-05,0.00346348615783944
"ENSG00000204959",2.25060994063299,1.87711513184011,5.00150495365049,2.8216984256615e-05,0.00375043163866686
"ENSG00000050327",1.60115185055417,4.20940922627844,4.99576263653118,2.8606515080968e-05,0.0037617567331473
"ENSG00000179832",1.45885744874133,4.40769941306956,4.79302162986397,4.64797207461726e-05,0.00604774555940463
"ENSG00000160588",1.98192801263592,1.97492583469308,4.63655469992405,6.77001907143465e-05,0.00871710476479205
"ENSG00000130762",1.51212482368079,3.95543828148496,4.57611541573253,7.8306056924805e-05,0.00997877494481974
"ENSG00000077942",-2.03329622973011,4.80699283617255,-4.53980103819658,8.5466766329611e-05,0.0107801499857176
"ENSG00000115009",-1.9333772834225,2.28379913418356,-4.46593384317673,0.00010212841337882,0.0127516092704605
"ENSG00000105486",-1.63961110325729,4.67136000755562,-4.45152709794913,0.000105739947385189,0.0130705148962832
"ENSG00000069122",-1.38603722938062,6.40576651934773,-4.43841630176325,0.000109137896888473,0.0132808896110554
"ENSG00000089220",-1.22151329983363,7.65278032138208,-4.4367001591509,0.000109590707898038,0.0132808896110554
"ENSG00000086730",1.40427823630918,2.97563227770349,4.39776265717364,0.000120386574922917,0.0144475577924483
"ENSG00000120899",2.73831720559176,4.9134766190294,4.37200353612042,0.000128110790549356,0.0152267065575057
"ENSG00000197822",1.60771966246549,3.39922418052191,4.32573976532026,0.000143244562086321,0.0168632955423716
"ENSG00000168306",-1.71988162522899,1.22507561949494,-4.27540891072153,0.000161752058741646,0.0188624263972216
"ENSG00000170745",1.43000705080884,2.74264126016444,4.25878012832838,0.000168378159371954,0.0194516114766048
"ENSG00000120162",1.74535368898,2.95020246470491,4.20852890492576,0.000190096958658457,0.0217573009812703
"ENSG00000174951",1.72118233466479,2.48770247186424,4.16013523483262,0.000213653914608877,0.024051852042597
"ENSG00000143367",1.45631628326788,4.16637974515776,4.15939426876363,0.000214036382548796,0.024051852042597
"ENSG00000101307",-1.86735803329853,1.9936008696941,-4.08646491417475,0.000255224104155853,0.028421848211446
"ENSG00000071575",-1.41011548129201,4.76547520851057,-3.94402471175482,0.000359789850484802,0.0397085923378807
"ENSG00000105173",1.52312142988109,3.1239155913868,3.91696690103419,0.000384010275475307,0.0418316541621223
"ENSG00000162407",-1.73933630428795,3.95684083581669,-3.91504094200775,0.000385794723281445,0.0418316541621223
"ENSG00000177706",-1.69731237512403,3.81191794857997,-3.88424761934813,0.00041546884461302,0.0446574816370569
"ENSG00000137834",-2.89068569336161,1.6677066925225,-3.86175185603331,0.000438607256737398,0.0467381405218188
"ENSG00000095752",1.34998862455569,2.38639039065087,3.8408724165853,0.000461143664701102,0.0487196311057293
"ENSG00000000971",-1.87421106026782,4.64882671217071,-3.79760178651682,0.000511659389993022,0.0535984891500318
"ENSG00000166900",1.33638883091474,5.82343975166908,3.78263093480727,0.000530382323314744,0.0550929067100298
"ENSG00000175772",1.49210062031827,2.65103516562039,3.74407406313316,0.000581779782248375,0.0597283480407097
"ENSG00000139209",-2.93687543989751,0.415619875717326,-3.74206292886461,0.000584671961243094,0.0597283480407097
"ENSG00000126246",-2.83674381978094,1.06621692144307,-3.7187950575179,0.000618175135806311,0.062633302079523
"ENSG00000145911",1.93111051203703,1.48657752750865,3.65122231488016,0.000726617654637724,0.0730221205607879
