"genes"	"epiMes_tumor"	"epiMes_cellLine"
"ANXA9"	NA	"epi"
"AQP3"	NA	"epi"
"ARAP2"	NA	"epi"
"AREG"	NA	"epi"
"ARHGDIB"	NA	"epi"
"ARHGEF5"	NA	"epi"
"ATP1B1"	NA	"epi"
"B3GNT3"	NA	"epi"
"BAG2"	NA	"mes"
"BLNK"	NA	"epi"
"C10orf116"	NA	"epi"
"C12orf24"	NA	"mes"
"C1orf116"	NA	"epi"
"CAMK2N1"	NA	"epi"
"CAPN1"	NA	"epi"
"CD46"	NA	"epi"
"CD9"	NA	"epi"
"CDH3"	NA	"epi"
"CNKSR1"	NA	"epi"
"COMT"	NA	"epi"
"CTSH"	NA	"epi"
"CYP4F3"	NA	"epi"
"DENND2D"	NA	"epi"
"DENND5A"	NA	"mes"
"DSC2"	NA	"epi"
"DTX4"	NA	"epi"
"EPHA1"	NA	"epi"
"ERMP1"	NA	"epi"
"ETV1"	NA	"mes"
"EVPL"	NA	"epi"
"FBP1"	NA	"epi"
"FOXA1"	NA	"epi"
"GJA1"	NA	"mes"
"GPX2"	NA	"epi"
"GRB7"	NA	"epi"
"HES1"	NA	"epi"
"HNMT"	NA	"epi"
"HPGD"	NA	"epi"
"ICA1"	NA	"epi"
"IL1RN"	NA	"epi"
"ITGB4"	NA	"epi"
"ITGB6"	NA	"epi"
"KCNK1"	NA	"epi"
"KDELC1"	NA	"mes"
"KLF5"	NA	"epi"
"KLK6"	NA	"epi"
"KRT15"	NA	"epi"
"LCN2"	NA	"epi"
"LEPRE1"	NA	"mes"
"LGALS1"	NA	"mes"
"LOXL2"	NA	"mes"
"LY75"	NA	"epi"
"MALL"	NA	"epi"
"MGST2"	NA	"epi"
"MSN"	NA	"mes"
"MTUS1"	NA	"epi"
"MXRA7"	NA	"mes"
"MYH14"	NA	"epi"
"MYO1D"	NA	"epi"
"OAS1"	NA	"epi"
"PLXNB2"	NA	"epi"
"POPDC3"	NA	"mes"
"PPFIBP2"	NA	"epi"
"PYCARD"	NA	"epi"
"RAB20"	NA	"epi"
"RABGAP1L"	NA	"epi"
"RHOD"	NA	"epi"
"SCEL"	NA	"epi"
"SDC1"	NA	"epi"
"SERINC5"	NA	"epi"
"SERPINE1"	NA	"mes"
"SFN"	NA	"epi"
"SH2B3"	NA	"mes"
"SH2D3A"	NA	"epi"
"SHANK2"	NA	"epi"
"SLC37A1"	NA	"epi"
"SLC9A3R1"	NA	"epi"
"SLPI"	NA	"epi"
"SOAT1"	NA	"mes"
"SORL1"	NA	"epi"
"SSH3"	NA	"epi"
"TGFA"	NA	"epi"
"TGFB1I1"	NA	"mes"
"TMC6"	NA	"epi"
"TMEFF1"	NA	"mes"
"TMEM158"	NA	"mes"
"TNFSF13"	NA	"epi"
"TRIM31"	NA	"epi"
"TSPAN13"	NA	"epi"
"TSPAN15"	NA	"epi"
"UGT1A1"	NA	"epi"
"VGLL1"	NA	"epi"
"XBP1"	NA	"epi"
"ZNF165"	NA	"epi"
